ProjectID|CustomerID|ProjectType|Status|StartDateStr|CompletionDateStr|BidAmount|FinalAmount|CostOverrunAmount|ProfitMargin|Warranty|ServicePlan|ConstructionType|SquareFootage|City|Neighborhood|ArchitecturalFirm|GeneralContractor|BidWinDate|EstimatedHours|ActualHours|DelayImpactHours|EstimatedCompletionDate|DelayReason|CustomerSatisfaction
1|567|Voice Control Integration|Completed|2024-03-12|2024-09-12|184002.46|236845.63|0|TBD|2 years|None|Major Remodel|9228|Seattle|Medina|N/A|Fuller, Hudson and Garcia|2024-01-24|63|74|2|2024-07-16|Client Changes|3
2|500|Smart Water Management|Completed|2025-04-08|2025-09-18|374503.43|371216.22|0|TBD|3 years|Basic|Addition|10486|Bellevue|Bridle Trails|Reed-Campbell|Harris, Murray and Miller|2025-03-17|417|570|0|2025-10-01|N/A|4
3|167|Multi-Room Audio Video|Contract Signed|2024-05-18|N/A|119801.93|TBD|0.0|TBD|TBD|TBD|Addition|5257|Kirkland|Juanita|Castillo-Elliott|Gray-Robertson|2024-04-10|138|TBD|0|2024-07-06|N/A|N/A
4|301|Home Network Infrastructure|In Progress|2023-09-05|TBD|282190.75|274652.95|0.0|TBD|TBD|TBD|Major Remodel|4724|Issaquah|Issaquah Highlands|Cole-Jones|Morgan, Henry and Garcia|2023-08-20|116|116|0|2024-03-03|N/A|N/A
5|65|Multi-Room Audio Video|In Progress|2021-04-03|TBD|327721.87|319015.54|0.0|TBD|TBD|TBD|New Construction|14637|Issaquah|Squak Mountain|Torres-Jordan|Barnett-Flynn|2021-03-17|169|169|0|2021-09-09|N/A|N/A
6|92|Whole Home Battery Backup|Completed|2022-03-26|2022-07-26|382007.59|430172.84|0|TBD|2 years|Basic|System Upgrade|14814|Bellevue|West Bellevue|Clark-Torres|Gordon Ltd|2022-03-11|459|630|117|2022-07-21|Weather|3
7|360|Smart Home Integration|Completed|2024-08-28|2025-01-27|66708.02|73171.35|0|TBD|4 years|Standard|System Upgrade|3102|Redmond|Sammamish Valley|N/A|Gonzales, Chapman and Thomas|2024-08-06|227|279|0|2025-02-06|N/A|5
8|766|Custom Wine Cellar Monitoring|Completed|2024-08-06|2024-09-04|342957.31|338918.15|0|TBD|5 years|Standard|New Construction|8160|Seattle|Laurelhurst|N/A|Johnson, Bailey and Davenport|2024-06-03|133|155|0|2024-09-20|N/A|3
9|496|Luxury Home Theater|In Progress|2025-03-04|TBD|28597.13|26142.81|0.0|TBD|TBD|TBD|Addition|12726|Bellevue|Beaux Arts|Patterson-Chang|Allen Group|2025-02-16|94|25|0|2025-07-24|N/A|N/A
10|264|Multi-Room Audio Video|Completed|2024-12-05|2025-03-10|310359.87|351534.09|0|TBD|3 years|Standard|Major Remodel|9752|Bellevue|Somerset|Woods, Norton and Smith|Garcia Group|2024-11-23|556|713|143|2025-01-26|Material Delays|5
11|361|Smart Home Integration|Completed|2023-08-26|2024-02-26|95070.61|115955.66|0|TBD|2 years|Basic|New Construction|7224|Bellevue|Beaux Arts|N/A|Grant, Rodriguez and Patton|2023-08-08|130|167|32|2024-01-08|Weather|4
12|416|Custom Wine Cellar Monitoring|Completed|2024-09-21|2024-11-24|110848.37|134944.51|0|TBD|2 years|Basic|System Upgrade|5480|Kirkland|Juanita|N/A|Rodriguez-Campbell|2024-07-08|227|251|0|2024-12-16|N/A|4
13|142|Automated Lighting Control|Completed|2024-01-23|2024-06-04|218129.37|281100.17|0|TBD|3 years|Basic|Major Remodel|9268|Sammamish|Trossachs|Nunez-Smith|Thomas Ltd|2023-12-26|498|584|0|2024-06-10|N/A|3
14|211|Biometric Security System|In Progress|2022-11-09|TBD|149199.09|152776.13|0.0|TBD|TBD|TBD|System Upgrade|4311|Bellevue|Somerset|Taylor LLC|Rogers-Johnson|2022-09-15|494|494|0|2023-04-02|N/A|N/A
15|398|Whole-Home Automation|Completed|2025-02-02|2025-03-31|261951.37|303871.69|0|TBD|4 years|Basic|New Construction|4365|Seattle|Madison Park|Shea LLC|Riddle, Hunter and Garner|2025-01-23|593|798|83|2025-03-12|Client Changes|3
16|650|Custom Wine Cellar Monitoring|Design Phase|2024-11-07|N/A|267808.58|TBD|0.0|TBD|TBD|TBD|New Construction|14251|Mercer Island|South End|Wade PLC|Cameron, Bradley and Crawford|2024-10-06|342|TBD|0|2025-03-01|N/A|N/A
17|428|Outdoor Entertainment System|Completed|2025-01-08|2025-04-11|177806.23|188441.08|0|TBD|1 years|Standard|System Upgrade|3975|Seattle|Medina|N/A|Ellis, Meyer and Mendoza|2024-12-31|362|447|10|2025-04-07|Weather|3
18|784|Home Network Infrastructure|Completed|2024-12-03|2025-01-06|178696.95|225463.53|0|TBD|2 years|Basic|Addition|7628|Seattle|Clyde Hill|Gray-Myers|Harris LLC|2024-09-28|367|380|0|2025-01-22|N/A|5
