CampaignID|Name|Type|StartDate|EndDate|Budget|LeadsGenerated|CustomersAcquired|RevenueGenerated|ROI|CostPerLead|TargetNeighborhoods
1|Direct Mail Jan 2020|Direct Mail|2020-01-23|2020-03-20|10938.38|32|5|1573907.5263774148|142.89|341.82|"Newport Shores|North End|Trossachs|Issaquah Highlands|Madison Park|Queen Anne|Broadmoor"
2|Digital Advertising Apr 2021|Digital Advertising|2021-04-13|2021-05-28|20231.84|49|3|618112.0125940598|29.55|412.89|"Education Hill|South End|Clyde Hill|Sammamish Valley|Bear Creek"
3|Direct Mail Feb 2024|Direct Mail|2024-02-13|2024-07-18|16283.12|42|9|1982471.4090663479|120.75|387.69|"Somerset|Trossachs|South End|Madison Park|Newport Shores"
4|Architect Partnership Dec 2024|Architect Partnership|2024-12-16|2025-01-31|9982.23|21|3|814259.0023398207|80.57|475.34|"North End|Hunts Point|Clyde Hill"
5|Email Campaign Mar 2021|Email Campaign|2021-03-26|2021-04-26|10505.54|30|7|1777373.9773975674|168.18|350.18|"Laurelhurst|Beaux Arts|Trossachs"
6|Direct Mail Feb 2020|Direct Mail|2020-02-22|2020-07-19|14863.74|7|1|169437.93812054984|10.4|2123.39|"Magnolia|Trossachs|Sahalee|Medina|Bridle Trails|Laurelhurst"
7|Referral Program May 2020|Referral Program|2020-05-05|2020-08-06|19551.96|6|0|0|-1.0|3258.66|"Somerset|Houghton|Hollywood Hill|South End|Broadmoor|Sahalee|Issaquah Highlands|North End"
8|Luxury Home Show Jun 2024|Luxury Home Show|2024-06-14|2024-07-25|12404.2|50|14|4544705.230904423|365.38|248.08|"Bridle Trails|Issaquah Highlands|West Bellevue|Clyde Hill|Madison Park|Queen Anne|North End"
9|Email Campaign Feb 2023|Email Campaign|2023-02-04|2023-06-03|26017.78|6|1|269776.7281333552|9.37|4336.3|"Houghton|West Bellevue|Broadmoor|Queen Anne|Clyde Hill|Madison Park|Beaux Arts"
10|Luxury Home Show Jan 2021|Luxury Home Show|2021-01-03|2021-02-27|18526.11|16|3|980009.1287837957|51.9|1157.88|"Queen Anne|Education Hill|Clyde Hill|Sahalee|Hollywood Hill|Issaquah Highlands"
11|Digital Advertising Jul 2022|Digital Advertising|2022-07-24|2022-11-25|18793.12|6|1|113795.08640082953|5.06|3132.19|"Education Hill|Medina|Beaux Arts|Magnolia|Somerset|Squak Mountain|Newport Shores"
12|Architect Partnership Dec 2021|Architect Partnership|2021-12-26|2022-05-12|22652.41|26|1|315326.541705983|12.92|871.25|"Beaux Arts|Madison Park|Houghton|Queen Anne|South End|Hollywood Hill"
13|Direct Mail Dec 2023|Direct Mail|2023-12-19|2024-03-20|27338.15|40|5|1052778.714368997|37.51|683.45|"Squak Mountain|Bridle Trails|South End|Medina|Hunts Point|Trossachs"
14|Architect Partnership Oct 2023|Architect Partnership|2023-10-10|2024-03-23|21526.64|46|9|1073155.6502317807|48.85|467.97|"Hunts Point|Education Hill|Trossachs|Bridle Trails|West Bellevue|Clyde Hill|Beaux Arts|Sammamish Valley"
15|Email Campaign Feb 2020|Email Campaign|2020-02-14|2020-07-12|1572.38|35|9|3001185.9493670957|1907.69|44.93|"Houghton|Issaquah Highlands|Magnolia|Queen Anne|Clyde Hill"
16|Architect Partnership Apr 2021|Architect Partnership|2021-04-22|2021-07-09|14660.29|37|4|827556.8803740712|55.45|396.22|"Issaquah Highlands|Sahalee|Magnolia|Trossachs|Madison Park"
