SupplierID|Name|ContactName|ContactPhone|ContactEmail|PaymentTerms|PreferredStatus|ProductCategories|AuthorizedDealerFor|MinimumOrder|LastOrderDate|LeadTime|Discontinued
1|Thomas-Skinner|Mitchell Campbell|218.655.9407x9923|jessica32@young.info|Net 30 Premium|Standard|"Voice Control Systems|Biometric Security"|"KEF|Elan"|$1100.0|2020-06-02|11 days|No
2|Moon-Ferguson|Gary Roberts|001-943-970-1945x3911|tcosta@morgan-cooper.info|Custom Terms|Preferred|Premium Cables & Connectors|"Meridian|Ubiquiti|Triad"|$0.0|2024-08-30|21 days|No
3|Kemp, Barnes and Martinez|Caitlin Miller|001-357-380-6190x223|jmendoza@ho.info|Custom Terms|Preferred|"Smart Home Processors|Motorized Shading|Ultra HD Projectors"|"Dynaudio|Control4|Anthem"|$2750.0|2025-01-01|6 days|No
4|Patterson, Rogers and Taylor|John Ryan|001-821-526-8485|smiller@obrien.com|Net 30 Premium|Preferred|"Custom Lighting Controls|High-End Networking Equipment|Smart Home Processors|Automated Door Systems|Premium Speakers"|"Stewart Filmscreen|Axis"|$0.0|2020-01-19|30 days|No
5|Johnson Ltd|Ronald Mejia|698.892.3132|carol86@salazar-martinez.info|Net 45|Standard|Distributed Audio Systems|"Crestron|Kaleidescape|JBL Synthesis|KEF"|$2750.0|2022-08-21|26 days|No
6|Reeves, Garcia and Hopkins|Michael Gutierrez|001-615-238-2011|klara@patterson.com|Net 30 Premium|Standard|"Cinema Room Acoustics|Luxury Control Interfaces|Distributed Audio Systems|Smart Home Processors"|"Josh.ai|Sony Professional|Axis|Epson Pro Cinema"|$1100.0|2020-01-12|15 days|No
7|Brown-Thomas|Douglas Hahn|837.656.5697|ldixon@moore-ramirez.org|Custom Terms|Standard|"Ultra HD Projectors|Luxury Control Interfaces|Premium Cables & Connectors"|Josh.ai|$550.0|2023-09-26|33 days|No
8|Erickson-Rivas|Jason Taylor|7693296568|lorettabrown@cannon-christensen.biz|Custom Terms|Standard|"Premium Speakers|Premium Cables & Connectors|Custom Lighting Controls"|"Cisco Meraki|Stewart Filmscreen"|$2750.0|2022-10-24|11 days|No
9|Vasquez, Harper and Hall|Alex Alexander|001-434-542-1291x46502|patricia78@donovan.com|Net 30 Premium|Preferred|Enterprise-Grade WiFi|"Dynaudio|Crestron|Triad"|$1100.0|2020-04-16|30 days|No
10|Lozano-Compton|Julie Wiley|(318)640-7033x982|jpeters@lee.com|Custom Terms|Preferred|Premium Cables & Connectors|"Bowers & Wilkins|Epson Pro Cinema|Triad|Kaleidescape"|$550.0|2024-02-02|18 days|No
11|Brown, Bradley and Warner|Mitchell Foster|(370)463-6328x6301|anthonyavery@vance.net|Net 60|Standard|Automated Door Systems|"Epson Pro Cinema|RTI"|$0.0|2022-08-28|35 days|No
12|Gordon-Adams|David Oconnell|+1-433-836-7960|ocummings@terry.com|Net 45|Preferred|"Automated Door Systems|Smart Glass Solutions"|"Stewart Filmscreen|Control4"|$550.0|2021-07-14|12 days|No
13|Bowman-King|Stephanie Mcdowell|+1-620-785-6490x132|odonnellsarah@williams-delgado.com|Net 60|Standard|"Motorized Shading|Premium Speakers|Ultra HD Projectors|Premium Cables & Connectors|Voice Control Systems"|"KEF|Ubiquiti"|$2750.0|2022-05-22|6 days|No
14|Rodriguez LLC|Brian Cooper|208.603.8890x44104|calebsullivan@morgan.com|Net 30 Premium|Preferred|Smart Home Processors|"Axis|Barco|Triad"|$0.0|2021-10-17|14 days|Yes
15|Walters, Garcia and Robertson|Eric Flores|903.909.0168x56471|barry90@oneal.com|Net 60|Preferred|Biometric Security|"Marantz|McIntosh|Epson Pro Cinema|Elan"|$2750.0|2021-05-31|26 days|No
16|Merritt-Rose|Michele Webb|861-315-8668|carrolltheodore@gonzales-riley.net|Net 30 Premium|Standard|Premium Speakers|"Ubiquiti|Somfy"|$1100.0|2024-02-27|40 days|No
17|Beck and Sons|John Williams|705-983-5345x81956|amywright@archer.org|Net 45|Standard|"Motorized Shading|Biometric Security|Smart Home Processors"|McIntosh|$0.0|2020-09-24|5 days|No
18|Martin, Moore and Ross|John Frank|558.201.5846x6879|adamkramer@harris-santana.info|Custom Terms|Standard|"Motorized Shading|Voice Control Systems"|Ubiquiti|$2750.0|2021-09-09|15 days|No
19|Mendoza Group|Justin Holland|351-550-2528x546|laratanner@pugh.net|Net 45|Standard|"Ultra HD Projectors|Luxury Control Interfaces"|"Axis|Somfy|NAD"|$0.0|2023-07-13|30 days|No
20|Bradshaw, Martinez and Bowen|Jesus Poole|+1-627-477-7118|david78@gonzalez-deleon.com|Net 45|Standard|"Distributed Audio Systems|Cinema Room Acoustics|Enterprise-Grade WiFi|Ultra HD Projectors"|"Integra|Control4"|$0.0|2023-03-05|15 days|No
21|Ramos Inc|Anthony Thomas|323-844-7305x777|byrdbrandi@rodriguez-diaz.org|Net 30 Premium|Preferred|"Custom Lighting Controls|Biometric Security|Distributed Audio Systems|Enterprise-Grade WiFi"|"Screen Innovations|Stewart Filmscreen|Marantz|Linn"|$0.0|2021-01-11|13 days|No
22|Bailey-Ross|Jennifer Williams|+1-468-633-4400x952|valeriejames@diaz.com|Net 60|Preferred|"Voice Control Systems|Ultra HD Projectors|Enterprise-Grade WiFi|Distributed Audio Systems|Custom Lighting Controls"|"Integra|Marantz"|$0.0|2023-02-04|13 days|No
