ItemID|Category|Manufacturer|Model|Description|CurrentStock|ReorderLevel|UnitCost|MarkupPercentage|SupplierID|LastOrderDate|LeadTime|Discontinued
1|High-End Networking Equipment|Barco|BAR-1510|Barco High-End Networking Equipment - Premium Series|2|3|24689.57|48|12|2021-08-25|33 days|No
2|Luxury Control Interfaces|Savant|SAV-9326|Savant Luxury Control Interfaces - Premium Series|5|2|3019.7|38|97|2022-11-12|23 days|No
3|Ultra HD Projectors|Kaleidescape|KAL-4679|Kaleidescape Ultra HD Projectors - Premium Series|8|5|10548.05|30|141|2025-03-30|7 days|No
4|Distributed Audio Systems|Meridian|MER-8738|Meridian Distributed Audio Systems - Premium Series|8|5|23325.63|58|113|2023-05-28|6 days|No
5|Motorized Shading|Integra|INT-6930|Integra Motorized Shading - Premium Series|3|4|25064.19|46|81|2024-06-24|18 days|No
6|Premium Speakers|Triad|TRI-6766|Triad Premium Speakers - Premium Series|8|5|12298.76|51|20|2020-06-12|26 days|No
7|Biometric Security|Paradigm|PAR-3052|Paradigm Biometric Security - Premium Series|8|2|16686.94|53|105|2021-04-15|29 days|No
8|Biometric Security|Sony Professional|SON-2932|Sony Professional Biometric Security - Premium Series|1|4|16695.9|43|108|2021-10-04|24 days|No
9|Luxury Control Interfaces|Martin Logan|MAR-8439|Martin Logan Luxury Control Interfaces - Premium Series|0|2|17437.73|37|31|2024-11-29|14 days|No
10|Enterprise-Grade WiFi|Paradigm|PAR-8068|Paradigm Enterprise-Grade WiFi - Premium Series|0|2|20456.77|33|19|2024-09-03|5 days|No
11|Automated Door Systems|Screen Innovations|SCR-4955|Screen Innovations Automated Door Systems - Premium Series|4|1|24877.69|47|87|2022-04-03|11 days|No
12|Cinema Room Acoustics|Ubiquiti|UBI-6815|Ubiquiti Cinema Room Acoustics - Premium Series|7|4|16310.58|31|116|2020-05-31|5 days|No
13|Premium Cables & Connectors|Integra|INT-9345|Integra Premium Cables & Connectors - Premium Series|1|2|20862.31|33|2|2024-01-22|14 days|No
14|High-End Networking Equipment|Anthem|ANT-5576|Anthem High-End Networking Equipment - Premium Series|1|2|10501.07|53|77|2022-11-07|14 days|No
